"","geneid_3310","geneid_2978","geneid_6352","geneid_2621","geneid_5337","geneid_10594","geneid_826","geneid_11224","geneid_1982","geneid_8664","geneid_11315","geneid_6727","geneid_2665","geneid_6135","geneid_377","geneid_3183","geneid_4735","geneid_3178","geneid_6233","geneid_6207","geneid_2197","geneid_1072","geneid_6141","geneid_8665","geneid_6193","geneid_6155","geneid_6164","geneid_4677","geneid_56910","geneid_6143","geneid_5250","geneid_6205","geneid_6133","geneid_1655","geneid_6128","geneid_23399","geneid_4736","geneid_11335","geneid_10657","geneid_51493","geneid_2079","geneid_23","geneid_1603","geneid_7528","geneid_10899","geneid_11143","geneid_7705","geneid_9092","geneid_3608","geneid_9552","geneid_8882","geneid_6881","geneid_10438","geneid_4841","geneid_23020","geneid_387","geneid_10921","geneid_6229","geneid_6156","geneid_3326","geneid_375","geneid_3550","geneid_821","geneid_9733","geneid_27013","geneid_10285","geneid_4670","geneid_2987","geneid_79036","geneid_4946","geneid_533","geneid_23326","geneid_10944","geneid_6923","geneid_1327","geneid_10959","geneid_6124","geneid_2339","geneid_6230","geneid_6167","geneid_3094","geneid_1938","geneid_6204","geneid_3190","geneid_51433","geneid_3192","geneid_8661","geneid_7184","geneid_4478","geneid_81","geneid_351","geneid_5573","geneid_1832","geneid_5885","geneid_9948","geneid_4691","geneid_163","geneid_1173","geneid_1213","geneid_9761"
"22RV1",4.71487099829078,3.85282219393398,4.36789465385863,5.85110956549577,4.37340383190769,9.97580965572616,10.6031171607685,12.5136003108033,11.7356611744595,10.7858438346589,12.1480696938153,11.7900828508692,11.6679855295748,12.4940640405714,10.5407356323792,11.8637088172927,11.5746884071647,13.4609769147091,13.3402244249482,13.4578121345103,12.9414224339698,13.08361636211,12.7630937453233,11.5459269028812,13.015510405631,13.4496235722815,12.8270425648088,11.7890997479434,10.7687928722208,13.1195649529703,12.6072908679346,13.8336334855079,13.5642776430245,11.8878395556557,13.2162852332893,9.70571829519229,12.8101573514574,11.7574685337543,11.502602266065,10.2217336453898,12.3057454058033,8.30512103484413,10.3290308920676,10.5330676004837,11.5459349415297,9.05765868359424,10.7496446843718,8.9766108314313,11.0121134194305,9.53304421256333,8.40928563415747,10.4090959397235,9.17436110675169,12.1749746498492,10.4530143538401,11.3967670768362,10.8832900409831,14.0223738980862,13.658922773717,11.8392490848901,11.8387990433335,10.6515985710978,11.4714663590226,8.9565333154424,9.10510738616566,9.24917060917777,11.1608300329771,9.42172363485173,9.40004750476038,12.6720023977887,10.8511790492194,10.473317472633,10.561666766327,11.6479797422551,12.1431198707384,11.9574310684588,12.9232453214425,10.8735573354695,12.8355986399102,13.6689102129249,11.9650002521325,13.0673272299954,13.744621042362,11.3846969149109,10.8242198839664,11.9079859840571,10.583432588221,12.1368105042382,5.95581835119836,9.93855097770125,8.11402000207356,10.4195941652839,9.04527195086683,10.9819546006646,10.4446371731732,12.0539980135752,7.17120889767228,9.16798354265018,11.2923548286675,10.0186666164743
"5637",4.34962833605969,3.76209663929257,4.40074234032495,8.21122397065706,4.5393772849444,9.76800487943062,9.82282911009908,13.0066625064606,12.5270895713539,11.1562343853158,12.304376293956,12.0403735396667,11.7921057191152,12.7078467000565,10.6484898344138,12.0547987509065,11.5753660215354,13.2612116532515,13.5866836319084,13.99415893462,13.2365165309264,13.3902917559656,13.3726036680665,12.6106453852966,13.4893338417432,13.731343370888,13.4006005545333,12.2345564503009,11.4872349651262,13.7916752239185,12.5599111146626,13.7879221039656,13.5878910698597,12.6644150608078,13.1754863293364,8.5391930977878,12.8542577008255,11.6634971564911,12.4145096712764,10.4580462362012,12.4175808385441,9.18155156442781,10.9984483858278,11.5982974351346,11.4566527994512,8.62851343496063,11.369833452136,9.62001227526515,10.9616433796529,9.46242289067272,9.94830261801996,10.5318122854674,9.93980421715833,12.8706248587623,10.8153958269243,11.9859073073466,10.8034365995086,13.5191050056656,13.9373212699497,11.4509483441966,11.5858825548536,10.3770811427056,12.2910841370789,8.94180932964904,8.16179988430485,9.79817002963593,10.8010234270773,9.73698122886486,10.100654214279,12.4896045042388,10.8676448027296,10.584803692848,11.5928713362074,11.1689333839598,12.0239530326238,11.6270423105328,13.0563502028924,11.9529730644385,12.6166967597323,13.8787776060117,11.8980969648195,13.2246990414072,13.7576350736778,11.594170832678,10.2261652381154,11.4259158322232,10.6883377566273,11.6227525012655,8.76082137564888,9.39894479518625,10.5491102313655,10.8340856860671,11.1868561799172,10.911182498032,10.2599104242639,12.3050836506154,10.0682494231897,10.1010984526429,12.0133204356311,8.6574512060336
"639_V",4.38909415195648,3.74458615201128,4.24909775665702,7.49763908860813,4.64068312473712,10.7649005652369,10.6696862881431,12.2796621708946,11.1540818122696,11.9107921405016,12.3016374464232,12.0651520685878,11.7759531977852,12.6852980620028,10.1440508305413,12.1207963149976,11.8695233390686,13.0580306310722,13.6669522084103,13.6698932971728,12.9940560228883,13.5473974158975,12.9726812558773,11.8041594803411,13.2711566473785,13.522002482703,13.3376530634688,12.7600211796012,11.0473208069129,13.1918075886374,12.5596546555091,13.8767091910013,13.6009867196129,11.5368791540372,12.9349726395562,9.78510730400837,13.0416387771127,11.6122154640727,11.9954241180315,10.7679065307515,13.0308781538685,9.57927584641041,11.5990011456168,11.4244183729074,11.2459826830492,8.06506104516252,11.108274112667,9.03215270010653,10.8031650848324,10.3387360775451,10.0636871871515,10.6850262840468,9.82412915852963,12.9794821827601,10.4829437825928,12.9009033201136,11.0049500456161,13.9070114868423,13.8425301052744,11.9736639328131,11.5724022365859,9.66449557660725,11.6770733164326,8.43209563865913,8.38134114565219,10.2190243132391,10.4709014991021,9.28624141323505,10.0949034045303,12.9415901497601,10.6657400340128,10.6293072769208,10.7205968178224,11.3068460627155,11.8440377265848,11.1015548806314,12.7804848649391,10.7892092547142,13.2590477176979,13.6425522383089,11.8822672682175,13.3581179356809,13.6889529856108,11.0687481769866,10.1924045079392,11.426909843874,10.7777616339525,12.1833815965077,10.7885635020511,8.10325542232058,10.9788233886893,10.9212136493525,8.17722569349857,11.6090432986228,10.3114789140399,11.8549561763452,8.41161102542404,10.2237882434658,10.537191464666,9.13396582673677
"647_V",4.21716622238055,3.61330099898545,7.71025792124404,8.93625504645166,4.37093027574663,10.5560613667888,11.3613167516762,12.1027775237604,12.4013241461503,10.9553291459336,12.0675460762666,12.3894291215746,11.829196819215,12.7578645235517,10.9823212536004,12.0740820122233,12.1310374117944,13.3991991019867,13.6710779702844,13.4109768624525,12.6456739348073,13.7989768659285,13.0853448912886,12.4322508265752,13.2189728180659,13.4412798699727,13.1834290416116,11.5016250748718,11.2671081925401,13.094154011863,12.8738803739042,13.8598931453919,13.3637782964187,12.3901220244938,13.1227510503307,9.64905641847234,12.6720570933366,12.4207562570339,12.020147751099,9.34221163720288,12.5410099669815,10.5629019930824,11.1967501868726,11.2075032193973,11.5362019661528,8.48469771826527,10.8532931591394,8.82643664435187,10.9678065431616,9.79884993589993,8.14918584893095,10.8095427828126,10.2825865429471,13.1451185342817,11.1085452008172,12.5256616410467,11.0413347488599,13.882196195516,13.5912865463776,12.2883185156648,11.6402095602076,9.79148389255434,12.0357424877444,8.45237978457864,8.68140531455844,10.1286770455912,10.7726568760564,10.0939184837415,9.19699824580317,12.6793835675599,10.3838810550186,11.0428305726274,11.266861810451,11.2918815581425,11.9638084996963,12.1981707522006,12.914859202411,11.1629246995311,12.6088486049074,13.8740995320167,11.4434252182243,12.8271624392512,13.6734290221666,11.4257965256436,10.5979579309188,12.1169494244602,10.6273550161203,12.4948582241812,9.91010773036193,9.59105940934922,10.9646489041866,11.1491048177452,12.1255060150457,11.2113614686383,10.5038493961698,11.990123508157,9.86934268448409,10.8105045603987,12.2671584891313,10.0223158361058
"697",5.83760479900899,3.61137927827394,4.60914390626901,6.08481523358168,4.55542733761628,10.2237915369632,10.1091345073618,12.920855213998,11.957891123985,11.786909156763,12.0754931607744,11.7696341107214,12.2111803952617,13.0543511047869,9.7514392049812,11.9472337568073,11.3465501055902,13.7299451737004,13.4055216261292,13.6739559275549,12.6604742259807,13.0574892214483,13.3539946267392,12.6519281330222,13.263236066966,13.6009457202584,13.3583189701644,11.9907290734393,11.3101763440005,13.5562246724297,12.4730066353611,13.9641247964921,13.7147900198048,11.9954042882855,13.2572911643769,9.394094495829,13.4123770859186,11.9056366850388,12.3706778181595,9.62604808505334,12.61173645357,9.15581191929128,10.2395006805326,11.6696577690833,11.1163663505288,9.0841408770605,11.3888066202227,9.26397243201268,11.2559266280321,10.2377727865002,9.26408606724012,10.022529908907,10.2153153379385,12.8647903980982,11.1419563976489,12.4856671183318,11.200245008037,14.0835249412177,13.9935908495019,11.8506116993429,11.8149764016875,9.89567144881766,11.6257827684485,8.62430744886788,9.11675248425477,10.3949231311392,10.6835150863338,8.70155601913077,9.90508347021114,12.4785768826562,9.76448712933649,11.1148666976974,11.1586787469332,10.7091544706156,11.9417406426524,11.048483918446,13.1113005565014,11.3057115793029,13.1540054853859,13.6400281812358,12.3378534679763,13.0340401007287,13.7064509373409,11.1279584356,10.9624018305103,11.923604199349,11.1380963491322,11.7252455269896,10.0806853494498,7.50514953294093,10.1869848643278,10.7958395215868,4.64256305829634,11.8887501947417,9.09755277458374,12.2143465023071,8.48062495749101,9.66256606052096,11.8029641495393,9.16495634074798
"769_P",4.69488816302388,3.69132560034817,4.0682039701153,7.31033731680746,4.38567362125973,10.5078986250646,11.5458765995094,12.0649393143356,11.0666169331194,11.5948839630953,12.0398086632693,11.9372164649956,11.9516460516629,11.4281838557325,11.3104686572157,11.8319890014431,12.3529385209808,13.6549201746117,13.0787639805392,13.3502457497914,12.914434969961,13.8513166351975,13.1000503253703,11.7496917170263,13.1327097122176,13.5829078555114,13.4776771191998,12.4027821374004,11.7971429439229,12.9867397976183,13.1997125195118,13.8542075251119,13.4249466299367,10.6944112511304,12.9056136114074,9.78697654571699,12.3901260947874,11.4939855964797,11.9646573243643,11.091140167126,12.2506587007844,10.0605968247284,10.9359573206924,9.91458186408071,10.7928032505095,8.61350606709187,10.6530234177412,8.79365949496658,8.93334313691062,11.2325125221542,8.14315513211577,10.5654326569124,9.74147047299672,12.7810028553998,11.1472149675182,10.2024781477041,11.3914204429921,13.5187140864101,13.58046220306,11.3480878755493,12.1136335456844,10.5922872935709,12.7813249263324,8.69608859503853,10.47756446193,9.79640389395009,10.3613201354746,10.0455394095205,10.3650046461787,12.9321425506864,11.5883856434191,11.3522234109533,10.2110353649961,12.0033735156826,12.5020340876906,11.6475141019676,12.1749367839306,11.1776447504598,11.6063462784776,13.595355270107,12.0039582180334,13.2168071970447,13.8305522239519,11.068310635335,10.3082834648149,11.7558757132866,11.0444028303901,11.1696675438787,11.4839388209886,11.3616444977405,11.7070258468583,10.4021466198918,11.0215383332153,11.0649601143241,11.5143575926347,12.3213895239732,10.5478321221266,11.4625002173424,11.3661351529439,10.4045764705378
"786_0",5.06082199645645,3.69342860326639,4.19533649758194,8.35137937243845,4.57582952749361,10.2169868770468,10.1857376797416,12.6377024118472,12.1903087699579,12.0102941321697,12.5222210845863,12.3710178928013,12.4285004265586,12.9852300764399,9.47908193637194,12.3137048805806,12.3641896311719,12.5799591423241,13.5574711862044,13.6317318615064,12.8415693204476,13.4182511695004,12.8858898479356,11.6544964258489,12.9478723790212,13.484910419052,13.3373849168965,12.2633416711164,10.8395283530564,13.5787821654157,12.4647534357936,13.8461339266354,13.6268477017026,12.1399441478951,12.8407966647747,9.007447113218,12.8592550799691,11.5211689326188,11.8994359541277,9.71494586703848,12.7245007571564,9.73260412640542,12.0684964093352,11.0809286043713,11.1974590135483,8.67004509143553,10.9984769748972,9.51295655062835,10.7530285948087,9.38467825320404,10.3790601073777,10.7944827663803,10.3529736337511,13.4437585295766,10.7939829301815,12.4638868862958,10.6511176995517,14.0447198189738,14.0537038883481,11.8088210403165,11.458399076121,11.0843672589231,12.3514580892908,8.28123578837476,8.54359707241313,10.1770694022422,10.4823318464445,10.2149737882302,9.62612114889096,12.7978670456476,10.4977242530663,10.0119649075068,11.4939266210038,11.8111223564558,11.7660801525157,11.370345649803,12.8893683319628,10.4951627822631,12.5394516924765,13.8547167185212,12.4455595513797,12.7925376693741,13.7878008302459,11.5959094135873,9.84751487994297,12.1785266154661,10.911162231609,12.1722146591107,11.8344694181525,9.7821937977686,11.2189883465179,10.6791140855727,4.19851930072084,11.4974746136153,11.2040269876898,12.2984721770232,9.31709862356341,10.3783598093983,12.2016872196223,8.99616021696588
"8_MG_BA",5.15365126580004,3.92061266460091,5.06513238944972,10.4923402578996,4.96457523385038,11.0515211439187,11.2670781554711,12.5790276137239,10.3130627680303,11.4469869077365,12.5450484052702,11.8321084572664,11.0962093950473,12.5218521251075,11.4413521902506,11.8140776267786,11.4451163110793,13.4378405146607,12.8036414611812,13.6415761594836,13.3550217431351,14.1213361170636,12.6992271401769,11.1037418366812,13.3677119339839,13.8976581942589,13.34874781631,12.2254921866215,11.7839309129345,12.5436366433053,12.4086688818449,13.8960388311628,13.07905431536,10.729213763069,13.1058445081301,10.3870729817472,12.6055827823723,11.6537912685976,11.8298979211889,9.71177748822602,12.8631801416049,10.6985566840288,11.4135651155646,11.2027981916111,11.3023526510589,9.09546050793637,11.6747558493271,10.6804016808551,8.75963180577516,10.4267382333513,10.7998519143898,11.5331494146178,9.33298822478688,12.454524156093,11.4525564157576,10.7004355750997,11.8652836791605,13.4536537602383,13.8273858435286,11.1956523977867,11.5308891206851,10.7777670494427,12.4755893499949,9.04502432488008,9.7522375810782,9.55635273665578,10.1993452334738,10.267616538979,10.5446179325767,12.4614572916509,12.083912215306,11.0308234705984,9.63589759038512,11.6418315921465,11.8971460302488,11.3766180796721,11.8404907033784,11.4256014286661,12.1303966573218,13.8089746875256,11.2865986137146,13.1966632566878,13.9106867183005,10.7903630335591,11.1411127551512,11.5994264655136,10.9746008154386,10.9553015373489,10.6191008915557,11.5510605762151,11.4712981331627,10.2478464291852,4.49716692002472,11.2509003614802,11.1810245682848,12.626445896724,9.98126803092262,11.0174759646943,11.3860116233647,9.65645391283678
"A101D",5.74821419232712,3.63139844011319,4.99057494823814,8.02511572042331,5.31060689981184,10.1714945019631,11.2150223845914,11.9137423444561,10.3209466291979,11.8416006673402,12.7457517807372,11.8141816698295,11.5067235653687,12.2264379225333,11.6970103644242,11.1862155254281,12.044155366329,13.3537290865904,13.1542081209561,13.5391095127735,12.6346930038744,13.6630844973244,13.1397359534379,11.4321286297997,13.4318831305605,13.6350038794503,13.4420297548656,11.8418499011664,12.3459908778626,12.925020532723,13.1316029615965,13.9175530515119,13.3352753974198,10.4869001903573,12.9507221812319,10.0900120412768,12.3476633554249,12.1572135773814,11.6247067630557,9.87608823174557,12.6740425315833,10.4858034343138,11.7045751326185,9.76898914393623,11.277331881533,7.48813590931854,10.7653448359116,9.20206284798695,8.73354781391834,10.1464040365631,9.9743458307177,11.3443470191582,9.59645764845916,12.4045874532137,11.3464337517002,10.3530083382172,11.3028162510245,13.2558752662043,13.4157415800054,11.456953061637,12.1040786662336,9.76334573482609,11.8429124832156,8.21121077325622,9.88658422716622,9.6622676287298,9.92485115242457,10.5564572822992,10.6827544500152,13.0035615525105,11.842823318948,10.4705793895153,9.37393466182037,11.7420051935908,12.4724028901743,11.8984311008354,12.3810120400912,11.1650755431948,12.3163334091034,13.8001594076147,11.2018034450926,13.4706820170975,13.9141080386215,10.6698123238391,11.7006045011992,11.2802725383554,10.8210032749972,12.0124924266693,7.54201931487331,10.4045227103921,11.4722650763753,10.2715042540443,4.23679032427288,10.9032370422407,11.2696292084413,12.3317487931901,9.31364057285959,10.6555833441562,11.1468278498202,10.8497020396607
"A204",4.89527559566578,3.69085292633002,6.16957417128719,10.0536699222947,4.53196230878661,11.0151285215573,10.4879695611229,12.6758715816896,10.3321109948456,11.3921740949334,12.3715381957743,11.5876260059602,11.8104152643551,12.6766493091725,10.9609077212646,11.49862818733,11.76285657123,13.5886657281391,13.2476499518412,13.7271211198885,13.3452243695777,13.4545641690695,13.2308091344756,12.2711638154725,13.3650734638665,13.7388112162666,13.4170152151333,11.7949058259954,10.9818100678846,13.369241159884,12.5388360898871,13.9187817348136,13.5723294667414,10.2795642784245,13.1285377598566,10.7836696731932,13.1831170671945,11.7937600511864,11.8364555283682,10.1744914067687,12.5400658582701,10.2604820204137,10.9370587399035,10.9997167647123,10.6358807704997,8.66555100246085,10.9217739424355,9.71077764205931,8.79625819775081,11.1560922212748,10.1678481889897,11.2399951556111,9.49305553547206,12.5237179830947,11.0357891854136,10.6553886277959,11.8082186450983,13.6578760430272,13.6909270867982,12.3135268805343,11.6321477574839,9.57002950600564,12.3800922921887,8.51664153164799,9.62096219082401,10.1907453321774,10.4593966721307,9.79407918455272,10.4566029816406,11.6518675010558,10.3434928303189,11.0464186150316,10.0515725421124,12.0645947151406,12.1352784743957,11.7748850658348,13.2804292275253,11.3967194454536,12.980843942449,13.7077261207914,11.8998674886626,13.5364307248677,14.0267661681414,10.6668707377974,10.7761382412601,10.9635389301724,11.4603154117602,12.0064626655116,10.0622483920143,10.6632421512265,11.894069886774,10.5375346843563,9.91431818904462,10.6549284638133,10.6705589917915,12.4190394953392,9.8900887957004,10.1122543749925,11.3436386119108,10.157616204371
